#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=35.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:121 out:123 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:52 misc:264 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:11 mv:192 misc:333 imb:0 pmb:36 smb:3564 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:183 misc:312 imb:0 pmb:26 smb:3574 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:41.03 aq:15.48 tex:109 mv:271 misc:340 imb:11 pmb:19 smb:3570 d:t ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:5 mv:95 misc:284 imb:1 pmb:8 smb:3591 d:t ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:31 misc:254 imb:0 pmb:4 smb:3596 d:t ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:193 misc:334 imb:0 pmb:33 smb:3567 d:- ref:0 ;
in:135 out:130 type:P dur:2 cpbdur:2 q:41.03 aq:17.12 tex:49 mv:273 misc:342 imb:10 pmb:21 smb:3569 d:t ref:0 ;
in:132 out:131 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:5 mv:24 misc:275 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:87 misc:262 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:6 mv:50 misc:264 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:180 misc:316 imb:0 pmb:27 smb:3573 d:- ref:0 ;
